,Dwayne Johnson,Robert Downey Jr.,Chris Hemsworth,Akshay Kumar,Jackie Chan,Bradley Cooper,Adam Sandler,Scarlett Johansson,Sofia Vergara,Chris Evans
Dwayne Johnson,0,2,2,-1,3,2,3,3,3,2
Robert Downey Jr.,2,0,1,-1,3,3,3,1,3,1
Chris Hemsworth,2,1,0,3,2,2,3,2,3,2
Akshay Kumar,-1,-1,3,0,3,-1,-1,-1,-1,-1
Jackie Chan,3,3,2,3,0,3,3,3,-1,3
Bradley Cooper,2,3,2,-1,3,0,2,2,2,2
Adam Sandler,3,3,3,-1,3,2,0,3,2,3
Scarlett Johansson,3,1,2,-1,3,2,3,0,2,2
Sofia Vergara,3,3,3,-1,-1,2,2,2,0,3
Chris Evans,2,1,2,-1,3,2,3,2,3,0
